,VLUE,MTUM,USMV,QUAL,LRGF
Ticker,VLUE,MTUM,USMV,QUAL,LRGF
Date,,,,,
2020-08-10,785500,1616900,5004100,707400,56700
2020-08-11,1130300,1772600,7247300,3373600,126700
2020-08-12,508500,782900,2858600,672300,79000
2020-08-13,1160400,558700,3026300,729300,107500
2020-08-14,266600,396500,2187900,1018200,65100
2020-08-17,515300,450200,3317500,385700,297900
2020-08-18,1413000,916300,2315100,610500,252100
2020-08-19,519800,457400,3091400,756100,63900
2020-08-20,301200,353400,4394400,643300,206900
2020-08-21,437100,635700,2863700,471400,68200
2020-08-24,434100,901900,2696700,646100,102500
2020-08-25,725400,523700,2345600,1289500,86200
2020-08-26,1050800,633900,2901600,656600,87500
2020-08-27,1089200,745100,4974800,1311000,1410000
2020-08-28,813300,568900,2954900,584400,48000
2020-08-31,10749700,581300,3071100,597800,162700
2020-09-01,1882600,1237200,2924900,1558500,65000
2020-09-02,889900,1029500,4629600,1143900,97400
2020-09-03,750200,951600,6885300,1105100,132900
2020-09-04,810100,1701600,5941900,1061300,85500
2020-09-08,518800,1225300,4450300,1460300,103400
2020-09-09,3151100,1681900,7071000,913600,103100
2020-09-10,3335600,614100,4772100,642200,77500
2020-09-11,782800,616800,4827000,1137700,112300
2020-09-14,692200,677400,2749600,587300,56800
2020-09-15,1771000,561300,2955100,1531700,49500
2020-09-16,463500,745700,2824900,752200,47000
2020-09-17,1059100,731600,4765200,660500,101300
2020-09-18,599800,808600,3668300,717700,58800
2020-09-21,498000,1411900,4732600,1012100,60200
2020-09-22,488100,4076900,3110300,918200,84100
2020-09-23,518700,657100,4068700,680800,59900
2020-09-24,615100,944100,4112400,843500,64800
2020-09-25,745800,771900,3698200,448400,48700
2020-09-28,675200,743800,2763600,861900,65800
2020-09-29,493800,581100,3090000,556600,40400
2020-09-30,1287700,952600,3532500,948500,68400
2020-10-01,496100,1549100,3437600,873200,55800
2020-10-02,688900,970600,4438600,673100,62600
2020-10-05,419600,572100,2752500,622700,41100
2020-10-06,812600,714500,4082200,652700,66500
2020-10-07,1200400,523000,3569300,977100,65100
2020-10-08,549500,610900,2245900,705400,29900
2020-10-09,609800,585800,2124300,746200,86900
2020-10-12,500500,455000,2832700,471100,73000
2020-10-13,560800,454900,2451700,734700,47800
2020-10-14,484400,563600,2746500,711000,172800
2020-10-15,625200,505000,2458600,614100,71000
2020-10-16,754100,463000,2514200,787300,81400
2020-10-19,711200,876000,2939000,1506100,116100
2020-10-20,630100,684100,3204900,811900,76400
2020-10-21,388700,586300,3235200,466500,78600
2020-10-22,404500,487800,2836100,831100,42500
2020-10-23,407000,442200,2965700,666100,54600
2020-10-26,557700,766800,3156600,667500,80000
2020-10-27,902800,861200,3345100,740200,43900
2020-10-28,903000,1213600,4304600,1156100,86400
2020-10-29,610900,768600,4712000,1093500,52000
2020-10-30,1429900,875600,5357900,1017700,73100
2020-11-02,1428000,1257200,4715300,717500,98400
2020-11-03,1477000,1021500,4403500,508600,45700
2020-11-04,1396200,1373000,5764200,841900,55900
2020-11-05,1254600,1576000,4151100,1207200,69100
2020-11-06,1293300,778400,2803600,815000,83300
2020-11-09,2998900,1573800,4593300,1136300,125100
2020-11-10,1376700,1345700,3534700,1141900,76900
2020-11-11,2606300,1101600,2097700,659000,46900
2020-11-12,849100,2177200,2514600,3356700,939200
2020-11-13,700600,420000,1789900,906400,68800
2020-11-16,1280200,636100,2339600,513500,68900
2020-11-17,3118400,3719000,4570300,1396900,147800
2020-11-18,730500,586400,2680400,586800,252700
2020-11-19,856900,1020700,6582300,550500,100500
2020-11-20,1239100,730900,2187700,769700,99000
2020-11-23,1496200,1165000,3619500,737100,147700
2020-11-24,1742900,1008600,3464700,938300,89300
2020-11-25,739200,605000,3417800,636600,55200
2020-11-27,2250200,416700,1255500,206800,25100
2020-11-30,1427800,1230500,3195700,1590000,84300
2020-12-01,580300,862000,3559700,1018300,99800
2020-12-02,591200,707900,2355600,464600,137600
2020-12-03,678400,690800,2126600,594300,67000
2020-12-04,515300,765300,2148100,776900,56600
2020-12-07,491100,868000,2099600,710900,78700
2020-12-08,609000,1399800,3214400,1000500,73900
2020-12-09,697600,1213700,3006100,1725300,321000
2020-12-10,349600,720900,2566900,718600,96100
2020-12-11,720000,762700,3077800,716800,84900
2020-12-14,1060500,875900,2771000,899000,102400
2020-12-15,560000,612500,3094700,2387500,97900
2020-12-16,804900,641600,2195600,926800,43700
2020-12-17,977200,847000,3381100,1328100,53300
2020-12-18,1057600,1691700,4383100,2240300,85100
2020-12-21,1920000,607000,3769200,1008600,74600
2020-12-22,651000,547300,2373700,1179800,49500
2020-12-23,443700,606900,2535700,1023800,30100
2020-12-24,209900,299200,965800,242400,46100
2020-12-28,414100,504600,1653900,616200,156300
2020-12-29,953300,629000,2645000,691400,83900
2020-12-30,977600,375300,1982900,613400,113900
2020-12-31,413400,568800,2342500,351700,101900
2021-01-04,1057400,1049100,6084100,949900,95700
2021-01-05,907000,811800,4288100,719000,123000
2021-01-06,3376200,1130400,4898400,659200,67900
2021-01-07,870800,788900,4070500,667800,139500
2021-01-08,841400,1287000,4565000,831500,160700
2021-01-11,500400,982700,3456300,721000,77400
2021-01-12,454500,700700,4159400,990600,194500
2021-01-13,752000,787600,6749400,868100,196100
2021-01-14,1921400,8034600,18217200,1663900,120300
2021-01-15,7896200,2269300,9771100,2510900,51000
2021-01-19,1030800,1266500,5922600,823700,139100
2021-01-20,1481900,1469800,3966300,1562500,60200
2021-01-21,463800,1078100,5246900,1728700,86100
2021-01-22,709100,661300,4492200,4288800,104300
2021-01-25,474100,732600,4898600,4228600,85200
2021-01-26,672200,1318400,4521100,3805100,138700
2021-01-27,498300,1144200,6395600,2105600,157400
2021-01-28,704900,897100,5597500,837800,116900
2021-01-29,1651300,1054700,5739000,5358700,242700
2021-02-01,906500,1120800,3924600,790800,217100
2021-02-02,1273300,2604900,3292900,781200,54300
2021-02-03,535300,1052700,4519700,1077100,149000
2021-02-04,619900,613600,4308700,1119700,79900
2021-02-05,579800,709400,3394900,883900,46800
2021-02-08,1768200,2841300,5809000,2200200,190800
2021-02-09,695600,1216700,3232300,1062100,153300
2021-02-10,607400,825700,3790300,667000,120700
2021-02-11,673200,768800,3834800,911000,71900
2021-02-12,767500,525100,2783700,891700,94100
2021-02-16,523500,1805300,3324200,824800,81500
2021-02-17,556300,712800,2142400,644300,94200
2021-02-18,684800,578800,2971200,804100,128300
2021-02-19,414200,629800,2877600,552500,129200
2021-02-22,656000,821400,2655400,530300,69000
2021-02-23,1193800,4211000,5780400,874300,159900
2021-02-24,1533500,1673700,3873000,3870700,104300
2021-02-25,1186000,2155800,7114500,2761700,212800
2021-02-26,943100,2657800,4917100,1580400,148900
2021-03-01,519200,1506700,5156400,640100,141300
2021-03-02,2048500,1169700,4255900,911800,163500
2021-03-03,583400,2812700,5325300,958400,162200
2021-03-04,1628400,3596400,7399800,1069900,143200
2021-03-05,1427500,3726500,5966400,1635000,222700
2021-03-08,869000,2951900,3902700,2280400,63900
2021-03-09,10290500,2181100,3705700,1237500,64500
2021-03-10,1050500,2115300,4610900,1003100,149000
2021-03-11,820600,1544300,5427300,961100,76100
2021-03-12,841800,1453800,4082500,999500,88600
2021-03-15,1671500,872400,2795600,853300,104600
2021-03-16,806900,856000,2904400,932900,127900
2021-03-17,821700,822900,3100700,1168300,105300
2021-03-18,918000,1138000,3446100,896900,109400
2021-03-19,984700,1325200,4179100,1553400,53900
2021-03-22,622800,838000,2945700,716400,75300
2021-03-23,3100600,3722600,3616400,811700,83500
2021-03-24,1324800,1756900,3742500,935300,139400
2021-03-25,1313000,1232300,2915500,903800,131000
2021-03-26,1387200,848800,3573000,1725800,120700
2021-03-29,1326900,1229100,4261700,1001500,149800
2021-03-30,734400,796400,4605800,967200,113700
2021-03-31,1062600,825200,2904400,880900,128500
2021-04-01,964100,1431300,5161700,1097500,57600
2021-04-05,1074300,847600,4166900,1613200,101900
