iShares MSCI USA Value Factor ETF
Fund Holdings as of,"Apr 25, 2025"
Inception Date,"Apr 16, 2013"
Shares Outstanding,"61,400,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"FNF","FIDELITY NATIONAL FINANCIAL INC","Financials","Equity","6,026,930.00","0.10","6,026,930.00","96,200.00","62.65","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UHALB","U HAUL NON VOTING SERIES N","Industrials","Equity","5,734,871.28","0.09","5,734,871.28","105,498.00","54.36","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FBIN","FORTUNE BRANDS INNOVATIONS INC","Industrials","Equity","5,131,422.92","0.08","5,131,422.92","95,807.00","53.56","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DVA","DAVITA INC","Health Care","Equity","4,580,080.08","0.07","4,580,080.08","32,818.00","139.56","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BEN","FRANKLIN RESOURCES INC","Financials","Equity","4,185,380.16","0.07","4,185,380.16","223,578.00","18.72","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BIO","BIO RAD LABORATORIES INC CLASS A","Health Care","Equity","2,977,555.36","0.05","2,977,555.36","12,272.00","242.63","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WLK","WESTLAKE CORP","Materials","Equity","2,815,988.67","0.05","2,815,988.67","30,153.00","93.39","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SGAFT","CASH COLLATERAL USD SGAFT","Cash and/or Derivatives","Cash Collateral and Margins","1,821,000.00","0.03","1,821,000.00","1,821,000.00","100.00","United States","-","USD","1.00","USD","Sep 01, 2016"
"RTYM5","RUSSELL 2000 EMINI CME JUN 25","Cash and/or Derivatives","Futures","0.00","0.00","8,544,705.00","87.00","1,964.30","-","Chicago Mercantile Exchange","USD","1.00","USD","-"
"ESM5","S&P500 EMINI JUN 25","Cash and/or Derivatives","Futures","0.00","0.00","10,822,012.50","39.00","5,549.75","-","Index And Options Market","USD","1.00","USD","-"
 
